sitename :,bullshoals
years: ,2013,2018
lat: ,36.562833,lon: ,-93.06663

date,tmin,tmax,vpd,sm,srad,dl,swe,prcp,MAP_worldclim,MAT_worldclim,GLDAS_soilfraction_clay,GLDAS_soilfraction_sand,GLDAS_soilfraction_silt,GLDAS_porosity,GLDAS_soiltex,gcc,rcc,gcc_lowess,rcc_lowess,gcc_norm,rcc_norm,gcc_lowess_norm,rcc_lowess_norm
2013-03-11,-1.59,8.02,225.58626804799576,1.910822222222222,351.53,11.562127777777778,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-12,-2.51,12.08,351.2578911625175,1.7939555555555555,444.16,11.601691666666666,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-13,-2.34,10.22,295.20204733780724,1.6949666666666667,418.37,11.641322222222223,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-14,-2.7,20.0,619.5508387241052,1.5991555555555554,494.54,11.68101388888889,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-15,2.23,26.42,913.622680197201,1.5033444444444444,489.88,11.72076388888889,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-16,6.55,23.22,719.6986778740797,1.4157444444444447,448.45,11.760558333333334,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-17,4.92,9.08,134.38167354837583,1.3281444444444443,123.66,11.800397222222225,0.0,10.47,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-18,4.65,10.63,195.31100341935556,1.5895444444444446,232.29,11.840266666666666,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-19,-1.6,11.59,328.2685494336914,1.4903111111111111,435.02,11.880166666666666,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-20,-2.37,8.35,243.7054887134285,1.391077777777778,391.32,11.920086111111113,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
